Accounts,Category Name,Total Views,Unique viewers,Comments,Total Likes,Business Account,Professional Account
itlcenter,Professional Services,5131,151,9,243,yes,yes
itechbadger,Personal Goods & General Merchandise Stores,974,35,0,799,yes,yes
irsc.nitp,Non-Profits & Religious Organizations,205,51,8,271,yes,yes
institutoluxor,Professional Services,350,144,12,858,yes,yes
inspire_excellence_,Professional Services,116,20,0,50,yes,yes
inspire_coding,Business & Utility Services,30816,391,10,105,yes,yes
insanecodes,Business & Utility Services,34666,168,3,239,yes,yes
innovationhtb,Non-Profits & Religious Organizations,1259,434,5,594,yes,yes
innoskrit,Professional Services,792,39,4,4,yes,yes
joselaica,null,929,282,13,2894,no,yes
jodavidferreira,Creators & Celebrities,1143,196,4,1894,yes,yes
jobifan,Professional Services,1129,117,7,317,yes,yes
j.melaria,Creators & Celebrities,140,8,2,432,yes,yes
jetorbit,Personal Goods & General Merchandise Stores,1011,337,5,217,yes,yes
jayesh.2112,null,313,37,0,42,no,yes
javascript.tips,Business & Utility Services,44684,70,3,141,yes,yes
javascriptmastery,Publishers,161075,857,8,50,yes,yes
karim_rahali,Creators & Celebrities,580,24,3,1069,yes,yes
_jxdesigns_,Business & Utility Services,103,6,0,44,yes,yes
jovian.ml,Professional Services,629,21,4,4,yes,yes
kosiner.codes,null,11245,213,6,833,no,yes
kopidev,Publishers,1832,251,0,3786,yes,yes
konsepkoding,Publishers,995,214,8,357,yes,yes
komhedos,Publishers,367,18,1,36,yes,yes
kod.manyagi,null,651,226,2,425,no,yes
kodingyuk,Publishers,1178,25,0,112,yes,yes
knacksack_official,Professional Services,507,42,1,22,yes,yes
kiyozu_webdesign,Business & Utility Services,348,33,6,163,yes,yes
keyloggerartwear,Personal Goods & General Merchandise Stores,140,208,3,533,yes,yes
kev_the_webdev,null,15406,219,4,154,no,yes
keen_io,Business & Utility Services,548,132,1,473,yes,yes
larax_ca,Personal Goods & General Merchandise Stores,1838,81,6,774,yes,yes
lane4solution,Business & Utility Services,221,114,6,261,yes,yes
lamiss_devlife,Creators & Celebrities,787,27,4,560,yes,yes
lakebrainstechnologies,Business & Utility Services,132,65,1,80,yes,yes
labichenumerique,Personal Goods & General Merchandise Stores,154,71,9,391,yes,yes
kuldeep251019,Creators & Celebrities,1198,170,8,1099,yes,yes
liquidmelbourne,Creators & Celebrities,393,250,4,640,yes,yes
linuxnaweb,Non-Profits & Religious Organizations,6626,184,5,497,yes,yes
linuxtechtips,General Interest,100337,3213,2,130,yes,yes
lifeworthliving7,Non-Profits & Religious Organizations,168,162,9,143,yes,yes
lidiacodes,Creators & Celebrities,978,115,2,367,yes,yes
lian_gpco,Business & Utility Services,4662,271,9,45,yes,yes
lewagonkorea,Personal Goods & General Merchandise Stores,518,117,6,167,yes,yes
letshelloworld,null,155,24,1,365,no,yes
letscloud_official,Business & Utility Services,3947,141,0,6055,yes,yes
lets__code,Business & Utility Services,1401,137,13,845,yes,yes
lebaston100,Creators & Celebrities,231,80,4,219,yes,yes
learntocode.live,Professional Services,699,58,5,362,yes,yes
lulububu.software,Business & Utility Services,5800,165,0,813,yes,yes
luisefreese,Creators & Celebrities,585,1904,23,312,yes,yes
lovecoders,Non-Profits & Religious Organizations,128869,442,10,9,yes,yes
